id,type_name
1,"Office Space"
2,Retail
3,Warehouse
4,Shop
5,Villa
6,"Show Room"
7,Plot
8,"Full floor"
9,"Whole Building"
10,"Bulk Rent Units"
11,Factory
12,"Labor Camp"
13,"Staff Accomodation"
