id,type_name
1,Apartment
2,Villa
3,Townhouse
4,Penhouse
5,Compound
6,Duplex
7,"Full floor"
8,"Half floor"
9,"Whole Building"
10,Land
11,"Bulk Sale Units"
12,Bungalow
13,"Hotel/Hotel Apartment"
